can_no, can_height_bottom, can_height_top, can_outer_dia_bottom, can_outer_dia_top, can_inner_dia_bottom, can_inner_dia_top,section_modulus_bottom,section_modulus_top,height_can
1,0.345,2.815,4.3,4.3,4.2,4.2,0.701161927,0.701161927,2.47
2,2.815,5.285,4.3,4.3,4.2,4.2,0.701161927,0.701161927,2.47
3,5.285,6.255,4.284,4.284,4.216,4.216,0.478535235,0.478535235,0.97
4,6.255,8.725,4.283,4.283,4.217,4.217,0.464567388,0.464567388,2.47
5,8.725,11.195,4.282,4.282,4.218,4.218,0.450593173,0.450593173,2.47
6,11.195,13.665,4.281,4.281,4.219,4.219,0.436612578,0.436612578,2.47
7,13.665,16.135,4.28,4.28,4.22,4.22,0.422625596,0.422625596,2.47
8,16.135,18.605,4.279,4.279,4.221,4.221,0.408632217,0.408632217,2.47
9,18.879,21.349,4.278,4.278,4.222,4.222,0.394632431,0.394632431,2.47
10,21.349,23.819,4.277,4.277,4.223,4.223,0.38062623,0.38062623,2.47
11,23.819,26.289,4.277,4.277,4.223,4.223,0.38062623,0.38062623,2.47
12,26.289,28.759,4.276,4.276,4.224,4.224,0.366613604,0.366613604,2.47
13,28.759,31.229,4.276,4.276,4.224,4.224,0.366613604,0.366613604,2.47
14,31.229,33.699,4.275,4.275,4.225,4.225,0.352594544,0.352594544,2.47
15,33.699,36.169,4.275,4.275,4.225,4.225,0.352594544,0.352594544,2.47
16,36.169,38.639,4.274,4.274,4.226,4.226,0.338569042,0.338569042,2.47
17,38.639,41.109,4.274,4.274,4.226,4.226,0.338569042,0.338569042,2.47
18,41.109,43.579,4.273,4.273,4.227,4.227,0.324537087,0.324537087,2.47
19,43.827,45.513,4.273,4.215,4.227,4.169,0.324537087,0.315716321,1.686
20,45.513,47.801,4.215,4.136,4.169,4.09,0.315716321,0.303897338,2.288
21,47.801,50.096,4.136,4.058,4.09,4.012,0.303897338,0.292449176,2.295
22,50.096,52.392,4.058,3.979,4.012,3.933,0.292449176,0.281078293,2.296
23,52.392,54.692,3.979,3.9,3.933,3.854,0.281078293,0.269932886,2.3
24,54.692,56.996,3.9,3.821,3.854,3.775,0.269932886,0.259012955,2.304
25,56.996,59.303,3.821,3.741,3.775,3.695,0.259012955,0.248184574,2.307
26,59.303,61.614,3.741,3.662,3.695,3.616,0.248184574,0.237718452,2.311
27,61.614,63.929,3.662,3.582,3.616,3.536,0.237718452,0.227349622,2.315
28,63.929,66.246,3.583,3.504,3.535,3.456,0.237169058,0.226722913,2.317
29,66.246,68.566,3.505,3.425,3.455,3.375,0.236103276,0.225335463,2.32
30,68.816,71.25,3.424,3.404,3.376,3.356,0.216384305,0.213837352,2.434
31,71.25,73.684,3.403,3.382,3.357,3.336,0.204986839,0.202439142,2.434
32,73.684,76.119,3.382,3.362,3.336,3.316,0.202439142,0.200027576,2.435
33,76.119,78.554,3.361,3.34,3.317,3.296,0.191386879,0.188979342,2.435
34,78.554,80.989,3.34,3.32,3.296,3.276,0.188979342,0.186700619,2.435
35,80.989,83.423,3.319,3.298,3.277,3.256,0.178267217,0.17599717,2.434
36,83.423,85.859,3.298,3.278,3.256,3.236,0.17599717,0.173848744,2.436
37,85.859,88.294,3.277,3.256,3.237,3.216,0.165620117,0.163484886,2.435
38,88.294,90.731,3.256,3.236,3.216,3.196,0.163484886,0.161464213,2.437
39,90.731,93.166,3.235,3.214,3.197,3.176,0.15343784,0.151434754,2.435
40,93.41,95.846,3.214,3.193,3.176,3.155,0.151434754,0.149444829,2.436
41,95.846,98.283,3.192,3.172,3.156,3.136,0.141623146,0.139839035,2.437
42,98.283,100.719,3.171,3.15,3.137,3.116,0.132111385,0.130353357,2.436
43,100.719,103.155,3.15,3.13,3.116,3.096,0.130353357,0.128689993,2.436
44,103.155,105.591,3.129,3.108,3.097,3.076,0.12115829,0.119525051,2.436
45,105.591,108.029,3.107,3.087,3.077,3.057,0.112090437,0.110641613,2.438
46,108.029,110.466,3.087,3.066,3.057,3.036,0.110641613,0.109130491,2.437
47,110.466,112.903,3.065,3.044,3.037,3.016,0.101888039,0.100487126,2.437
48,112.903,115.342,3.044,3.024,3.016,2.996,0.100487126,0.099161939,2.439
49,115.342,117.448,3.032,3.014,2.988,2.97,0.155419695,0.153559808,2.106
